pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order,mastery,move_method_name
1,25,36,4,0,,,machine
1,25,38,4,0,,,machine
1,25,76,4,0,,,machine
1,25,92,4,0,,,machine
1,25,885,4,0,,,machine
1,25,851,4,0,,,machine
1,25,803,4,0,,,machine
1,25,580,4,0,,,machine
1,25,520,4,0,,,machine
1,25,491,4,0,,,machine
1,25,474,4,0,,,machine
1,25,447,4,0,,,machine
1,25,437,4,0,,,machine
1,25,412,4,0,,,machine
1,25,402,4,0,,,machine
1,25,345,4,0,,,machine
1,25,331,4,0,,,machine
1,25,311,4,0,,,machine
1,25,282,4,0,,,machine
1,25,270,4,0,,,machine
1,25,263,4,0,,,machine
1,25,241,4,0,,,machine
1,25,214,4,0,,,machine
1,25,206,4,0,,,machine
1,25,204,4,0,,,machine
1,25,203,4,0,,,machine
1,25,202,4,0,,,machine
1,25,188,4,0,,,machine
1,25,182,4,0,,,machine
1,25,174,4,0,,,machine
1,25,164,4,0,,,machine
1,25,156,4,0,,,machine
1,25,34,4,0,,,machine
1,25,14,4,0,,,machine
1,25,275,2,0,,,egg
1,25,174,2,0,,,egg
1,25,92,2,0,,,egg
1,25,80,2,0,,,egg
1,25,76,1,36,,,level-up
1,25,438,1,33,,,level-up
1,25,388,1,30,,,level-up
1,25,235,1,27,,,level-up
1,25,230,1,24,,,level-up
1,25,36,1,21,,,level-up
1,25,402,1,18,,,level-up
1,25,79,1,15,2.0,,level-up
1,25,77,1,15,1.0,,level-up
1,25,75,1,12,,,level-up
1,25,73,1,9,,,level-up
1,25,74,1,6,,,level-up
1,25,22,1,3,,,level-up
1,25,45,1,1,2.0,,level-up
1,25,33,1,1,1.0,,level-up
1,23,133,2,0,,,egg
1,23,207,4,0,,,machine
1,23,213,4,0,,,machine
1,23,219,4,0,,,machine
1,23,249,4,0,,,machine
1,23,526,4,0,,,machine
1,23,38,1,33,,,level-up
1,23,124,2,0,,,egg
1,23,130,2,0,,,egg
1,23,267,2,0,,,egg
1,23,345,2,0,,,egg
1,23,437,2,0,,,egg
1,23,438,2,0,,,egg
1,23,580,2,0,,,egg
1,23,15,4,0,,,machine
1,23,70,4,0,,,machine
1,23,104,4,0,,,machine
1,23,113,4,0,,,machine
1,23,148,4,0,,,machine
1,23,204,2,0,,,egg
1,20,520,3,0,,,tutor
1,20,803,3,0,,,tutor
1,20,133,4,0,,,machine
1,20,173,4,0,,,machine
1,20,438,4,0,,,machine
1,20,496,4,0,,,machine
1,19,115,4,0,,,machine
1,19,72,4,0,,,machine
1,19,29,4,0,,,machine
1,19,200,4,0,,,machine
1,18,202,2,0,,,egg
1,18,320,2,0,,,egg
1,18,203,2,0,,,egg
1,18,20,3,0,,,tutor
1,18,173,3,0,,,tutor
1,18,202,3,0,,,tutor
1,18,235,3,0,,,tutor
1,18,282,3,0,,,tutor
1,18,388,3,0,,,tutor
1,18,402,3,0,,,tutor
1,18,267,4,0,,,machine
1,18,497,4,0,,,machine
1,18,590,4,0,,,machine
1,18,237,4,0,,,machine
1,18,216,4,0,,,machine
1,18,218,4,0,,,machine
1,16,290,4,0,,,machine
1,14,214,3,0,,,tutor
1,13,38,3,0,,,tutor
1,13,102,3,0,,,tutor
1,13,164,3,0,,,tutor
1,13,207,3,0,,,tutor
1,13,34,3,0,,,tutor
1,10,363,4,0,,,machine
1,10,113,2,0,,,egg
1,10,219,2,0,,,egg
1,10,210,3,0,,,tutor
1,10,189,3,0,,,tutor
1,10,81,3,0,,,tutor
1,10,29,3,0,,,tutor
1,10,445,4,0,,,machine
1,7,14,3,0,,,tutor
1,6,203,3,0,,,tutor
1,6,111,3,0,,,tutor
1,4,230,4,0,,,machine
1,4,189,4,0,,,machine
1,4,210,4,0,,,machine
1,4,13,2,0,,,egg
1,4,111,4,0,,,machine
1,2,102,4,0,,,machine
1,2,117,4,0,,,machine
1,2,99,4,0,,,machine
2,25,22,1,1,1.0,,level-up
2,25,33,1,1,2.0,,level-up
2,25,45,1,1,3.0,,level-up
2,25,74,1,1,4.0,,level-up
2,25,73,1,9,,,level-up
2,25,75,1,12,,,level-up
2,25,77,1,15,1.0,,level-up
2,25,79,1,15,2.0,,level-up
2,25,402,1,20,,,level-up
2,25,36,1,25,,,level-up
2,25,230,1,30,,,level-up
2,25,235,1,35,,,level-up
2,25,388,1,40,,,level-up
2,25,438,1,45,,,level-up
2,25,76,1,50,,,level-up
2,25,80,2,0,,,egg
2,25,92,2,0,,,egg
2,25,803,4,0,,,machine
2,25,851,4,0,,,machine
2,25,885,4,0,,,machine
2,25,580,4,0,,,machine
2,25,520,4,0,,,machine
2,25,491,4,0,,,machine
2,25,474,4,0,,,machine
2,25,174,2,0,,,egg
2,25,275,2,0,,,egg
2,25,14,4,0,,,machine
2,25,34,4,0,,,machine
2,25,36,4,0,,,machine
2,25,38,4,0,,,machine
2,25,46,4,0,,,machine
2,25,76,4,0,,,machine
